CANCER,300000
HIV-RELATED ,200000
FIBROIDS,150000
OVARIAN CYSTS,150000
PRESSURE,100000
TYPE II DIABETES,140000
TYPE I DIABETES,200000
KIDNEY FAILURE,140000
ULCERS,100000
HERNIA,140000
ANTHRITIS,150000
STROKE,200000
GOUT,100000
J0INT DISC BACK PAIN,100000
CHRONIC HEARTBURN,100000
STOMACH GAS,100000
HEPATITIS B,200000
SPERM COUNT AND QUALITY,100000
WOMEN FERTILITY FORMULA,100000
EPILEPSY,100000
BPH (TEZI DUME),100000
PALSY,100000
FALLOPIAN BLOCKAGE,100000
AMENORRHEA,100000
NASAL POLYPS (NYAMA ZA PUA),50000
HYDROCELE,140000
FATTY LIVER,50000
POLYURIA,100000
LOW WHITE BLOOD CELL COUNT,100000
LOW PLATELETS,100000
TONSILITIS,50000
HYPOTENSION,100000
LIVER CIRRHOSIS,140000
DEPRESSION,100000
HEMORRHOIDS,100000
ALLERGY,50000
SKIN ASTHMA,200000
MIGRAINES,100000
ASTHMA,50000
TYPHOID,60000
P.I.D,50000
KERATOSIS,50000
FISTULA,100000
LUPUS (Systemic Lupus Erythematosus) SLE,120000
CELLULITIS,100000
HORMONAL IMBALANCE,100000
MENSTRUAL CRAMPS,50000
MUSCLE CRAMPS,50000
GLAUCOMA,100000
CATARACT,100000
GANGLION CYSTS,100000
GOITRE,170000
TOOTHACHE,40000
SKYPHOSCOLIOSIS,100000
OESTEO IMPERFECTO,100000
IMPROVE MEMORY,100000
DERMATITIS,100000
CHRONIC VENOUS INSUFFICIENCY (CVI),250000
HEPATOMEGALY,140000
CARDIOMEGALY,100000
HIGH CHOLESTEROL,100000
LACK OF CERVICAL MUCUS,100000
KIDNEY AND BILE STONES,100000
METABOLIC DISORDERS,100000
CHRONIC U.T.I,50000
CONSTIPATION,100000
VITILIGO,200000
KELOIDS,100000
DENGUE,50000
HUNCH BACK,100000
TUBERCULOSIS,100000
ANNAL FISTULA,100000
VOCAL CORD PARALYSIS,50000
KERATOSIS,50000
TREMOURS,100000
DISTONIA,100000
CORONA,100000
PULMONARY FIBROSIS,100000
GLIOMA OF THE BRAIN,300000
HYDRONEPHROSIS,140000
PANGASTRITIS,100000
SYRINGOMYELIA,140000
SICKLE CELL,100000
MULTIPLE SCLEROSIS,200000
BED WETTING,100000
SULCUS VOCALITIS (KUPOTEZA SAUTI),50000
JAUNDICE,140000
SPLEEN ENLARGEMENT (SPLEENOMEGALY),140000
HICCUPS (KWIKWI),80000
APPENDIX,70000
GENITAL HERPS,100000
ALOPECIA AERATA,100000
BRUCELOSIS,50000
MALARIA,50000
LYMPHEDEMA,100000
CHRONIC BROCHITIS,50000
ANGINA PECTORIS,100000
PLEURAL INFUSION (MAJI KUJAA KWENYE MAPAFU),70000
LIPOMA,50000
POLYCYTHEMIA VERA (OVERPRODUCTION OF RED BLOOD CELLS),100000
TOE FUNGUS,50000
ENDOMETRIOSIS,100000
MANHOOD,100000
INSOMNIA,100000
CHRONIC ARTICARIA,100000
VITILIGO,200000
TINNITUS,100000
VERTIGO,100000
NEUTROPENIA,100000
MANHOOD,100000